Example = startPos(x, y), endPos(x, y)
-----------------------------------------------
Wall1 = (23, 23), (45, 206)
Wall2 = (23, 23), (206, 45)
Wall3 = (23, 184), (91, 206)
Wall4 = (184, 23), (206, 206)
Wall5 = (138, 184), (206, 206)
Wall6 = (115, 46), (160, 91)
Bush1 = (69, 115), (91, 160)
Bush1 = (138, 138), (183, 160)
-----------------------------------------------
Wall7 = (23, 414), (45, 482)
Wall8 = (23, 414), (114, 436)
Wall9 = (92, 414), (114, 482)

Wall10 = (138, 414), (160, 482)
Wall11 = (138, 414), (229, 436)
Wall12 = (207, 414), (229, 482)

Wall13 = (253, 414), (275, 482)
Wall14 = (253, 414), (344, 436)
Wall15 = (322, 414), (344, 482)

Wall16 = (368, 414), (390, 482)
Wall17 = (368, 414), (459, 436)
Wall18 = (437, 414), (459, 482)

Wall19 = (483, 414), (505, 482)
Wall20 = (483, 414), (574, 436)
Wall21 = (552, 414), (574, 482)
-----------------------------------------------
Wall22 = (23, 506), (45, 574)
Wall23 = (23, 552), (114, 574)
Wall24 = (92, 506), (114, 574)

Wall25 = (138, 506), (160, 574)
Wall26 = (138, 552), (229, 574)
Wall27 = (207, 506), (229, 574)

Wall28 = (253, 506), (275, 574)
Wall29 = (253, 552), (344, 574)
Wall30 = (322, 506), (344, 574)

Wall31 = (368, 506), (390, 574)
Wall32 = (368, 552), (459, 574)
Wall33 = (437, 506), (459, 574)

Wall34 = (483, 506), (505, 574)
Wall35 = (483, 552), (574, 574)
Wall36 = (552, 506), (574, 574)
-----------------------------------------------
Wall37 = (598, 414), (620, 482)
Wall38 = (598, 414), (758, 436)
Wall39 = (736, 414), (758, 574)
Wall40 = (598, 506), (620, 574)
Wall41 = (598, 552), (758, 574)
-----------------------------------------------
House1 = (207,0), (367,91)
House2 = (414,0), (574,91)
House3 = (621,0), (781,91)
House4 = (207,116), (367,206)
House5 = (414,116), (574,206)
House6 = (621,116), (781,206)
-----------------------------------------------
LampPost1 = (46, 230), (68, 252)
LampPost2 = (161, 230), (183, 252)
LampPost3 = (276, 230), (298, 252)
LampPost4 = (391, 230), (413, 252)
LampPost5 = (506, 230), (528, 252)
LampPost6 = (621, 230), (643, 252)
LampPost7 = (736, 230), (758, 252)
LampPost8 = (46, 368), (68, 390)
LampPost9 = (161, 368), (183, 390)
LampPost10 = (276, 368), (298, 390)
LampPost11 = (391, 368), (413, 390)
LampPost12 = (506, 368), (528, 390)
LampPost13 = (621, 368), (643, 390)
LampPost14 = (736, 368), (758, 390)





